City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
381,tingi,-11.3,35.0333,16.72,89,98,0.29,TZ,1674066972
382,ulaanbaatar,47.9077,106.8832,-20.93,54,40,5.0,MN,1674066720
383,praya,14.9215,-23.5087,26.3,53,0,9.26,CV,1674066973
384,bonthe,7.5264,-12.505,26.64,73,1,4.34,SL,1674066973
385,gat,31.61,34.7642,16.33,71,0,2.23,IL,1674066974
386,port macquarie,-31.4333,152.9167,17.72,77,98,2.87,AU,1674066974
387,magadan,59.5667,150.8,-23.66,76,100,6.05,RU,1674066975
388,tamale,9.4008,-0.8393,30.32,14,34,2.22,GH,1674066975
389,deputatskiy,69.3,139.9,-34.26,99,42,1.19,RU,1674066976
390,sao lourenco do sul,-31.3653,-51.9783,25.21,67,100,6.18,BR,1674066977
391,nelson bay,-32.7167,152.15,22.03,95,100,1.34,AU,1674066759
392,maceio,-9.6658,-35.7353,30.69,58,75,7.2,BR,1674066726
393,korla,41.7597,86.1469,-14.39,86,5,0.9,CN,1674066978
394,jose de freitas,-4.7564,-42.5756,28.53,45,79,2.1,BR,1674066978
395,ketchikan,55.3422,-131.6461,3.99,100,100,2.06,US,1674066979
396,ixtapa,20.7,-105.2,24.57,47,20,1.54,MX,1674066980
397,haines junction,60.7522,-137.5108,-13.39,100,100,0.46,CA,1674066980
398,nhulunbuy,-12.2333,136.7667,24.34,94,100,1.03,AU,1674066981
399,puyang,29.4603,119.8861,2.33,64,7,0.7,CN,1674066981
400,havoysund,70.9963,24.6622,-1.87,83,100,5.91,NO,1674066982
401,cabo rojo,18.0866,-67.1457,28.88,54,0,1.79,PR,1674066982
402,rio grande,-32.035,-52.0986,28.06,64,10,7.22,BR,1674066983
403,asau,46.4333,26.4,6.51,86,1,1.91,RO,1674066984
404,akonolinga,3.7667,12.25,23.44,34,100,1.06,CM,1674066984
405,balikpapan,-1.2675,116.8289,24.55,100,20,1.03,ID,1674066985
406,lure,47.75,6.5,-0.35,86,100,2.06,FR,1674066985
407,yerbogachen,61.2767,108.0108,-39.16,97,100,1.51,RU,1674066986
408,vestmannaeyjar,63.4427,-20.2734,-4.45,74,0,5.66,IS,1674066986
409,iztapa,13.9333,-90.7075,29.0,56,0,4.14,GT,1674066987
410,klaksvik,62.2266,-6.589,2.51,91,87,12.22,FO,1674066987
411,arsenal,-20.1056,57.5353,27.07,84,100,8.84,MU,1674066988
412,fraserburgh,57.6874,-2.0184,0.36,65,33,9.97,GB,1674066989
413,vila velha,-20.3297,-40.2925,28.97,77,40,6.17,BR,1674066989
414,aban,56.67,96.06,-37.91,100,65,1.8,RU,1674066990
415,upernavik,72.7868,-56.1549,-24.7,85,100,1.67,GL,1674066990
416,yulara,-25.2406,130.9889,24.89,42,0,7.95,AU,1674066991
417,aklavik,68.2191,-135.0107,-21.0,77,100,2.06,CA,1674066991
418,svetlogorsk,52.6333,29.7333,7.89,94,100,8.21,BY,1674066992
419,presov,49.1667,21.25,2.43,98,67,1.83,SK,1674066992
420,severomuysk,56.1481,113.4267,-37.77,98,98,3.07,RU,1674066993
421,berlevag,70.8578,29.0864,0.97,47,0,7.72,NO,1674066993
422,iskateley,67.6803,53.1512,-10.64,95,96,4.67,RU,1674066993
423,westport,41.1415,-73.3579,12.02,47,20,7.72,US,1674066994
424,yelizovo,53.1873,158.3805,-9.92,41,75,9.0,RU,1674066994
425,mashhad,36.297,59.6062,0.08,80,13,3.09,IR,1674066995
426,sorland,67.667,12.6934,2.92,59,100,6.02,NO,1674066995
427,tautira,-17.7333,-149.15,27.06,72,67,6.88,PF,1674066995
428,sao joao da barra,-21.6403,-41.0511,30.05,83,0,5.88,BR,1674066996
429,yichang,30.7144,111.2847,4.42,50,6,1.1,CN,1674066996
430,goderich,43.7501,-81.7165,3.28,93,100,4.12,CA,1674066997
431,avera,33.194,-82.5271,16.73,73,96,3.31,US,1674066997
432,lagoa,39.05,-27.9833,13.14,67,3,2.78,PT,1674066998
433,flinders,-34.5833,150.8552,18.99,88,100,2.68,AU,1674066813
434,bom jesus,-9.0744,-44.3586,29.88,49,100,0.97,BR,1674066998
435,solotvyn,48.7021,24.4221,6.3,70,10,7.12,UA,1674066999
436,lisakovsk,52.5369,62.4936,-21.05,78,0,2.46,KZ,1674066960
437,galveston,29.3669,-94.9669,26.13,82,100,6.17,US,1674066999
438,cap-aux-meules,47.3821,-61.8597,1.03,93,100,5.14,CA,1674067000
439,ankang,32.68,109.0172,3.16,43,95,0.7,CN,1674067000
440,emerald,-23.5333,148.1667,19.08,92,0,2.64,AU,1674067001
441,coahuayana,18.7333,-103.6833,27.3,44,100,2.93,MX,1674067001
442,talnakh,69.4865,88.3972,-28.22,84,100,2.7,RU,1674067002
443,mehamn,71.0357,27.8492,0.95,55,100,4.63,NO,1674067002
444,beringovskiy,63.05,179.3167,-30.72,94,24,3.09,RU,1674067002
445,prince rupert,54.3161,-130.3201,3.83,92,75,10.8,CA,1674067003
446,waycross,31.2136,-82.354,22.21,92,75,1.54,US,1674067003
447,samarinda,-0.5,117.15,22.01,98,99,0.54,ID,1674066937
